"textID","sentiment","sentiment_id","penman_amr"
"f87dea47db","neutral","2","( s / session :discourse-marker ""http://twitpic.com/67ezh"" :mod  ( l / last ) :domain  ( d / day ) )"
"96d74cb729","positive","1","( m / multi-sentence :snt1  ( e / excite-01 :ARG0  ( c / city :name  ( n / name :op1 ""Shanghai"" ) ) :ARG1-of  ( r / real-04 ) :ARG1-of  ( c2  / cause-01 :ARG0  ( s / skyscraper :quant  ( g / galore ) ) :mod  ( p / precise ) ) :mod  ( a / also ) ) :snt2  ( p2  / person :ARG0-of  ( t / tweet-01 ) :ARG1-of  ( g2  / good-02 ) :location  ( a2  / and :op1  ( c3  / country :name  ( n2  / name :op1 ""China"" ) ) :op2  ( c4  / city :name  ( n3  / name :op1 ""Shanghai"" ) ) :op3  ( c5  / city :name  ( n4  / name :op1 ""Beijing"" ) ) ) ) )"
"eee518ae67","negative","3","( m / multi-sentence :snt1  ( h / hit-01 :ARG0  ( r / recession-02 ) :ARG1  ( p / person :name  ( n / name :op1 ""Veronique"" :op2 ""Branquinho"" ) ) ) :snt2  ( o / obligate-01 :ARG1 p :ARG2  ( q / quit-01 :ARG0 p :ARG1  ( c / company :poss p ) ) ) :snt3  ( s / shame-01 :degree  ( s2  / such ) ) )"
"01082688c6","positive","1","( h / happy-01 :ARG1  ( b / birthday ) )"
"33987a8ee5","positive","1","( l / like-01 :ARG0  ( i / i ) :ARG1  ( i2  / it ) :ARG1-of  ( s / say-01 :ARG0  ( p / publication :name  ( n / name :op1 ""http://twitpic.com/4w75p"" ) ) ) )"
"726e501993","positive","1","( m / multi-sentence :snt1  ( g / great :domain  ( t / that ) ) :snt2  ( p / person :ARG0-of  ( v / visit-01 ) ) )"
"261932614e","negative","3","( t / think-01 :ARG0  ( i / i ) :ARG1  ( h / hate-01 :ARG0  ( e / everyone ) :ARG1 i :location  ( h2  / here ) ) :ARG1-of  ( l / laugh-01 :ARG0 i ) )"
"afa11da83f","negative","3","( c / contrast-01 :ARG1  ( w / wish-01 :ARG0  ( i / i ) :ARG1  ( p / possible-01 ) :mod  ( s / so ) ) :ARG2  ( a / and :op1  ( b / be-located-at-91 :ARG1 i :ARG2  ( s2  / school ) ) :op2  ( b2  / block-01 :ARG1  ( p2  / product :name  ( n / name :op1 ""myspace"" ) ) :ARG1-of  ( c2  / complete-02 ) ) ) )"
"e64208b4ef","neutral","2","( a / and :op2  ( b / be-temporally-at-91 :ARG1  ( t / they :mod  ( a2  / all ) ) :ARG2  ( a3  / after :op1  ( c / clue :mod  ( l / last ) ) :quant  ( t2  / time :ARG1-of  ( s / short-06 ) ) ) ) )"
"37bcad24ca","neutral","2","( m / multi-sentence :snt1  ( g / get-01 :ARG0  ( y / you ) :ARG1  ( a / amr-unknown ) ) :snt2  ( a2  / and :op1  ( f / fine-04 :ARG1  ( d / day :poss  ( i / i ) ) ) :op2  ( d2  / do-02 :ARG0 i :ARG1  ( a3  / anything ) :time  ( y2  / yet ) :polarity - ) ) :snt3  ( l / leave-01 :ARG0  ( i2  / i ) :ARG1  ( p / person :ARG0-of  ( h / have-rel-role-91 :ARG1 i2  :ARG2  ( s / sister :mod  ( s2  / step ) ) ) ) :time  ( s3  / soon ) :ARG1-of  ( h2  / have-condition-91 ) ) )"
